Family,Species,Distance,Length,Log distance,Log length,Number
,,,,,,
Surgeonfishes,Ocean surgeonfish,4.1,18.2,0.612783857,1.260071388,1
,,,,,,
Surgeonfishes,Blue tang,4.1,17.9,0.612783857,1.252853031,2
,,,,,,
Surgeonfishes,Doctorfish,4.1,23.3,0.612783857,1.367355921,3
,,,,,,
Grunts,Caesar grunt,2.8,18.3,0.447158031,1.26245109,4
,,,,,,
Grunts,French grunt,2.8,20.3,0.447158031,1.307496038,5
,,,,,,
Grunts,Spanish grunt,5.5,15,0.740362689,1.176091259,6
,,,,,,
Grunts,Sailor's Choice,85.5,27.5,1.931966115,1.439332694,7
,,,,,,
Grunts,White grunt,85.5,21.8,1.931966115,1.338456494,8
,,,,,,
Grunts,Bluestriped grunt,4.1,22,0.612783857,1.342422681,9
,,,,,,
Wrasses,Clown ,4.1,12.3,0.612783857,1.089905111,10
,,,,,,
Wrasses,Puddingwife,4.1,13.2,0.612783857,1.120573931,11
,,,,,,
Wrasses,Bluehead ,4.1,11.7,0.612783857,1.068185862,13
,,,,,,
Wrasses,Hogfish,1.4,25,0.146128036,1.397940009,12
,,,,,,
Boxfishes,Honeycomb cowfish,4.1,19.7,0.612783857,1.294466226,14
,,,,,,
Boxfishes,Scrawled cowfish,2.7,29.3,0.431363764,1.46686762,15
,,,,,,
Boxfishes,Spotted trunkfish,1.4,19.3,0.146128036,1.285557309,16
,,,,,,
Angelfishes,Queen angelfish,2.8,21,0.447158031,1.322219295,17
,,,,,,
Angelfishes,Gray angelfish,7.2,23.4,0.857332496,1.369215857,18
,,,,,,
Angelfishes,French angelfish,1.4,25.2,0.146128036,1.401400541,19
,,,,,,
Damselfishes,Sergeant major,1.4,9.3,0.146128036,0.968482949,20
,,,,,,
Damselfishes,Blue chromis,2.8,4.7,0.447158031,0.672097858,21
,,,,,,
Damselfishes,Beaugregory ,2.8,6,0.447158031,0.77815125,22
,,,,,,
Damselfishes,Cocoa ,1.4,7.3,0.146128036,0.86332286,23
,,,,,,
Parrotfishes,Princess parrotfish,7.2,17.3,0.857332496,1.238046103,24
,,,,,,
Parrotfishes,Queen parrotfish,2.8,19.7,0.447158031,1.294466226,25
,,,,,,
Parrotfishes,Redband parrotfish,85.5,18.6,1.931966115,1.269512944,26
,,,,,,
Parrotfishes,Redtail parrotfish,4.1,18,0.612783857,1.255272505,27
,,,,,,
Parrotfishes,Yellowtail parrotfish,7.2,20,0.857332496,1.301029996,28
,,,,,,
Parrotfishes,Stoplight parrotfish,7.2,23.3,0.857332496,1.367355921,29
,,,,,,
Groupers,Nassau grouper,7.2,29.1,0.857332496,1.463892989,30
,,,,,,
Groupers,Black grouper,7.2,29.4,0.857332496,1.46834733,31
,,,,,,
Pufferfishes,Sharpnose puffer,1.4,5.7,0.146128036,0.755874856,32
,,,,,,
Stingrays,Yellow stingray,4.1,26.6,0.612783857,1.424881637,33